glytoucan_ac,pubchem_cid
G00024MO,11375554
G00025AJ,91857678
G00025MO,5288428
G00027MO,91859643
G00030SF,168356350
G00030VN,91849570
G00031MO,5288347
G00033MO,52921656
G00035MO,25061208
G00037MO,25229562
G00039MO,91853465
G00041IL,146017258
G00041MO,56611864
G00043MO,91846113
G00047MO,22806751
G00048MO,45480569
G00049MO,5279514
G00050MO,70678645
G00051MO,44611539
G00052MO,45266908
G00053MO,53356732
G00054MO,44456859
G00055MO,439271
G00056MO,10177989
G00057MO,44611452
G00058MO,25062237
G00059MO,5279515
G00060MO,91847704
G00061MO,5288889
G00062MO,91853425
G00063MO,91853411
G00064MO,91851548
G00065MO,44611401
G00066MO,49852448
G00067MO,91861847
G00068MO,5288275
G00076PK,9915394
G00091RT,5288738
G00094SE,146017916
G00097DN,101122762
G00112IO,91851800
G00120QS,91846337
G00123JF,11521105
G00125TX,168356373
G00138ZP,56836039
G00139WK,168356375
G00140XB,91852120
G00152LK,5287768
G00153LJ,91852608
G00157WT,146016275
G00173GD,91857458
G00175GT,91861163
G00176HZ,91847874
G00194ZL,91862458
G00199JR,91845333
G00201AB,168356384
G00219VH,146015727
G00225DC,171121800
G00227ZY,102459947
G00231WL,91849816
G00238FA,49820613
G00247PL,71297668
G00272VU,91859859
G00274WK,91855790
G00279YF,91851031
G00287UD,91849825
G00294BL,91853036
G00294TN,53262335
G00305KO,101421288
G00306VT,91848222
G00315MF,91847916
G00320ZP,91848403
G00330YN,171121804
G00335DM,91848952
G00356FQ,21607016
G00361YF,91856256
G00368HM,91851288
G00370EI,91860459
G00371DJ,156614836
G00376RB,146017864
G00394CR,71298482
G00395FS,6540298
G00395TQ,91850249
G00399LG,57339193
G00407UJ,90475902
G00413UF,91850486
G00428HK,91861324
G00430ZK,91861203
G00432WV,71297859
G00432WW,156618664
G00433KW,71297916
G00435KX,91848046
G00457KD,91851905
G00458CW,156618163
G00461ZN,91850313
G00463XD,146017826
G00467QU,91845446
G00468NI,146015847
G00469BS,91850901
G00480IB,168356433
G00480KJ,91849565
G00482HJ,91852469
G00483IX,91847553
G00490QA,69303687
G00492CQ,71297419
G00503EE,91847573
G00504PZ,91854073
G00506NQ,146017102
G00514XC,156614413
G00520NI,71298458
G00531ZU,71297737
G00536FZ,91861420
G00547ZN,91847572
G00558IW,91861779
G00560KG,91851713
G00568LN,91848953
G00572SI,49804692
G00582VL,91845362
G00586UK,156616801
G00591PZ,91857883
G00594CD,91855082
G00601UG,50991837
G00601VC,156618442
G00606LX,71297975
G00619DD,5288745
G00627DR,4138758
G00631XZ,91858635
G00646SN,91859077
G00647RA,91859824
G00653TI,146015686
G00659GQ,91861388
G00662IB,91848936
G00666EC,91850586
G00667FG,91862816
G00667RI,91858048
G00672PE,70698387
G00673KJ,91854092
G00683ZX,91859238
G00691LW,91861747
G00693YK,91846568
G00695JO,91862515
G00702NP,91846157
G00705XW,91856538
G00706AL,91849921
G00706QN,71297427
G00706VT,168356474
G00709ZM,9927988
G00711NG,146016652
G00727XI,91854786
G00728SN,91862213
G00729QB,102148383
G00729SA,91849935
G00736XN,146016770
G00738BQ,156616957
G00743WU,91849248
G00754TS,146016405
G00760ZJ,91861377
G00767OE,91828220
G00769YD,171121824
G00797ZX,91850549
G00805TZ,91854789
G00814DL,5123418
G00817BI,156614947
G00826SV,91856851
G00845KS,156616463
G00850LT,91861957
G00851XQ,91858948
G00876GU,91857250
G00883DO,91854929
G00884ZO,171121833
G00887EN,156614589
G00888JR,91857638
G00891GP,91857394
G00891MP,5288768
G00899CT,91861078
G00901NZ,71298319
G00903RX,70678565
G00909GK,91859438
G00909PI,156614737
G00910WD,91850737
G00915DI,91846949
G00924FH,154573693
G00925PQ,91858495
G00936LV,91855345
G00944OL,91858522
G00948WV,156618874
G00951UF,91862036
G00966RI,71297817
G00972DY,91860231
G00977CB,56625777
G00978GW,146015417
G00979XR,91859439
G00982QD,91861614
G00986YT,91854930
G00995HW,91856407
G00997UP,91850712
G00998NI,71297666
G01001RL,91860641
G01007QU,870
G01034MJ,91860157
G01044XE,171121843
G01055IS,21606998
G01055WR,441427
G01056RH,156617481
G01069AK,91855114
G01079TS,168356544
G01097FM,171121845
G01116MS,146016875
G01131OO,156618352
G01132FQ,53477669
G01139KZ,91862906
G01141WK,91853133
G01148IL,156615695
G01169EW,71297677
G01187XC,11813424
G01188EJ,91852938
G01191NN,91859888
G01200BW,91858574
G01203BZ,91854665
G01210SE,168356577
G01218JA,168356579
G01220PX,91848286
G01223IC,156617747
G01237HZ,146015878
G01243KR,146017234
G01244DB,156614325
G01257PC,156618371
G01260RY,91847377
G01265XZ,156617376
G01284FH,156617598
G01287FH,91853277
G01296LJ,91847811
G01299ER,71297395
G01300OI,91852750
G01308XT,91848007
G01310VF,91855308
G01316HN,91851278
G01323LL,71297729
G01325OU,91850115
G01342FO,91855887
G01354KL,91855334
G01359SQ,101669157
G01359SY,146017143
G01361CV,71297681
G01361SX,5288898
G01364ZC,91847823
G01366SQ,171121858
G01369KU,91856449
G01369SG,171121859
G01376ME,91852176
G01378OV,146016956
G01388RZ,156618584
G01406RR,71297804
G01406YA,168356613
G01414CL,91850226
G01416HI,91856635
G01424EN,156614516
G01437WY,146017359
G01447WV,91846106
G01450RG,71298226
G01450VD,156618879
G01457KB,91847539
G01464ES,71298523
G01476WA,71297800
G01489UZ,71297701
G01504UZ,168356626
G01521YU,91853367
G01528JL,75955035
G01534TU,440405
G01540PE,91845677
G01542OM,71297376
G01545QB,86289667
G01546PE,91856196
G01577DB,146015458
G01580PZ,91845445
G01582PV,168356640
G01590HD,91857423
G01592CS,69295090
G01595DT,146170898
G01595SM,71297370
G01599BJ,91848006
G01599DL,156617667
G01602LO,91860856
G01612MY,91848182
G01613KN,71298005
G01614ZM,70698317
G01625GQ,91862805
G01629YL,91858046
G01643LM,91848990
G01650PH,50909802
G01657UH,91853285
G01659IT,156617738
G01662OD,91850966
G01665LU,91857504
G01666SB,146017135
G01669LU,91861240
G01670UQ,71297652
G01676BI,101691003
G01682LD,146016841
G01685IB,71297488
G01690DX,91848770
G01701KF,168356669
G01701XV,168356670
G01707KB,91850312
G01708UF,91854165
G01709XM,91855390
G01713HS,71297390
G01722HI,91857862
G01727PW,91857085
G01742MR,90470599
G01744JD,91851032
G01747FB,91858777
G01748MD,91862533
G01749YL,71298456
G01753LJ,91848017
G01759NM,70678948
G01760ZU,91858417
G01767JJ,21670525
G01778PX,91853246
G01784XC,91845191
G01789AQ,91853663
G01801SZ,91828239
G01822KD,146017702
G01825JS,91848707
G01846YN,53871978
G01854VF,91855946
G01856RL,91859627
G01859LC,91853146
G01866TT,9898371
G01877VI,146016304
G01891JS,156614431
G01919UV,168356705
G01923FT,91850057
G01923XE,146016266
G01935FK,70679046
G01945QJ,91850841
G01954TO,91860489
G01954WK,156617589
G01954ZH,146016299
G01958WI,168356711
G01964JR,171121890
G01968NV,91858155
G01986HE,91861954
G01995CB,168356718
G01996OW,146016025
G01999JH,91849510
G02000GW,156618656
G02015FA,171121897
G02020YO,91855529
G02021XC,91847644
G02022CE,3086340
G02025MF,91856907
G02029PW,91861530
G02032MW,91849077
G02033CE,168356725
G02035MJ,102211996
G02038LQ,91848907
G02045OB,14605636
G02078ZZ,156617827
G02081QK,91859852
G02086TB,91860228
G02089LB,9828803
G02106OV,91862882
G02114MH,46916362
G02117MY,91845494
G02122FK,71298006
G02126PG,91858324
G02131XU,168356747
G02145PB,91853717
G02149VR,91851751
G02150AC,156617836
G02152MS,71297827
G02161CI,71298503
G02162KR,91854669
G02168MP,156616223
G02174FQ,91847514
G02182MJ,71297934
G02187VY,53262315
G02193CV,71297958
G02194BG,101754093
G02207TG,91851924
G02226PP,91861367
G02230VA,146017467
G02239FM,91854284
G02240AO,52921591
G02244ID,71298334
G02252NT,67350816
G02256MB,91855896
G02259AO,91845327
G02261YA,168356775
G02273DT,91857477
G02284UY,91846518
G02288EO,91847590
G02290KA,91861566
G02301DT,444727
G02302MM,91845708
G02310VX,91846269
G02311IE,91845352
G02322JK,71297949
G02332YO,129830189
G02334IJ,18436566
G02349HM,91845940
G02353KU,91855865
G02363VZ,91846712
G02377RY,156617420
G02379AH,91855904
G02387FV,91857114
G02393LQ,146016308
G02393VO,91859299
G02394XU,146016758
G02402HF,91852198
G02403ZU,91860670
G02404AA,91853513
G02422RD,156617375
G02425YO,70679009
G02427KF,168356797
G02441OB,91847409
G02442MH,71298268
G02442YU,91853247
G02463PA,156616435
G02470WS,91860067
G02471GW,91849679
G02474FD,91851621
G02483WT,91848235
G02522JF,91860936
G02533LL,91854800
G02534MS,91858631
G02536WY,156618885
G02539TH,146017728
G02541EM,91860664
G02551AG,129320910
G02557XE,168356819
G02562EQ,91861616
G02568AU,91860762
G02577WH,91847891
G02582JY,91855950
G02594WS,51351681
G02595UE,146016221
G02622IU,91853014
G02633ON,91857185
G02646YL,91847128
G02657AK,45266844
G02657BS,91859035
G02660IC,91845980
G02660UC,91846896
G02660WC,91857379
G02670IJ,168356849
G02679YX,91848434
G02684WR,195235
G02686MD,156614525
G02698RR,91846838
G02704IM,101080448
G02710ET,53239705
G02729OV,56955905
G02747VH,57339202
G02752WS,146015867
G02753DE,9967861
G02760XH,91857480
G02763QD,91858454
G02786XX,91852690
G02799CL,71298438
G02816CI,21627868
G02826HN,91856665
G02837JA,91845906
G02839BL,10309643
G02840MF,440339
G02841FS,131122
G02844SX,71298420
G02854AM,4390797
G02856QE,146017377
G02873KW,146015712
G02878SQ,91859497
G02880JU,10221550
G02885MK,91855565
G02891BL,122198228
G02910YE,91859860
G02913GI,129320909
G02915XR,71297478
G02934UB,91861770
G02942YF,156615081
G02945KQ,71297780
G02967YO,146017513
G02990AF,156619289
G02998EX,10973189
G03003KR,91860336
G03004PD,91858425
G03005MJ,146016307
G03006JP,45266782
G03015NB,91855833
G03016BW,91857068
G03019FG,156614935
G03021WA,91847852
G03032GA,53262324
G03041YP,101194539
G03044ED,70698370
G03049NB,91846961
