generation_type,file_url,bco_url,local_id,persistent_id,creation_time,file_format,data_type,mime_type,protein,gene,glycan,disease,anatomy,site_start_pos,site_end_pos,amino_acid_start,amino_acid_end,species,access_url
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_protein_masterlist.csv,https://biocomputeobject.org/GLY_000001/2.8.1,GLY_000001,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000001_1
glygen_glycan_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/glycan_masterlist.csv,https://biocomputeobject.org/GLY_000281/2.8.1,GLY_000281,,12/12/24,format:3752,ILX:0793824,text/csv,,,column:glytoucan_ac,,,,,,,,drs://dsapi.glygen.org/drs/GLY_000281_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_glyconnect.csv,https://biocomputeobject.org/GLY_000329/2.8.1,GLY_000329,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000329_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000038/2.8.1,GLY_000038,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000038_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_unicarbkb.csv,https://biocomputeobject.org/GLY_000040/2.8.1,GLY_000040,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000040_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_gptwiki.csv,https://biocomputeobject.org/GLY_000480/2.8.1,GLY_000480,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000480_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_oglcnac_mcw.csv,https://biocomputeobject.org/GLY_000517/2.8.1,GLY_000517,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000517_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_oglcnac_atlas.csv,https://biocomputeobject.org/GLY_000708/2.8.1,GLY_000708,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000708_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_o_gluc.csv,https://biocomputeobject.org/GLY_000716/2.8.1,GLY_000716,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000004_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_literature_mining.csv,https://biocomputeobject.org/GLY_000481/2.8.1,GLY_000481,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000481_1
